YYYYMM,SEX,GOVT,HOM,PAGO
201901,1,3.922222222222222,4.272222222222222,4.333333333333333
201901,2,3.8257261410788383,4.203319502074689,4.215767634854772
201902,1,3.973333333333333,4.293333333333333,4.336
201902,2,3.924778761061947,4.3097345132743365,4.1946902654867255
201903,1,4.005235602094241,4.290575916230367,4.479057591623037
201903,2,3.981651376146789,4.344036697247707,4.215596330275229
201904,1,4.005333333333334,4.304,4.44
201904,2,3.9557522123893807,4.3097345132743365,4.256637168141593
201905,1,4.2349726775956285,4.336065573770492,4.4890710382513666
201905,2,3.8983050847457625,4.203389830508475,4.173728813559322
201906,1,4.2,4.5064935064935066,4.363636363636363
201906,2,3.834101382488479,4.271889400921659,4.2304147465437785
201907,1,4.132231404958677,4.352617079889807,4.410468319559229
201907,2,3.9539748953974896,4.322175732217573,4.188284518828452
201908,1,4.061333333333334,4.346666666666667,4.352
201908,2,3.8716814159292037,4.287610619469026,4.20353982300885
201909,1,4.086956521739131,4.342391304347826,4.375
201909,2,3.871244635193133,4.206008583690987,4.227467811158799
201910,1,4.117647058823529,4.377828054298643,4.4434389140271495
201910,2,3.8221153846153846,4.230769230769231,4.211538461538462
201911,1,4.077889447236181,4.422110552763819,4.432160804020101
201911,2,3.9570815450643777,4.274678111587983,4.171673819742489
201912,1,4.166666666666667,4.4396135265700485,4.4855072463768115
201912,2,3.9136363636363636,4.277272727272727,4.218181818181818
202001,1,4.121518987341772,4.440506329113924,4.427848101265822
202001,2,3.8805309734513274,4.398230088495575,4.300884955752212
202002,1,4.175,4.435,4.5075
202002,2,4.05,4.363636363636363,4.3090909090909095
202003,1,4.223021582733813,4.304556354916067,4.400479616306955
202003,2,4.0,4.28,4.141818181818182
202004,1,4.010126582278481,4.10126582278481,4.159493670886076
202004,2,3.8222222222222224,3.937777777777778,3.8755555555555556
202005,1,3.8526570048309177,4.207729468599034,4.128019323671498
202005,2,3.761904761904762,4.16017316017316,3.982683982683983
202006,1,3.8439153439153437,4.285714285714286,4.121693121693122
202006,2,3.654008438818565,4.30379746835443,4.0548523206751055
202007,1,3.93368700265252,4.379310344827586,4.143236074270557
202007,2,3.756637168141593,4.230088495575221,3.97787610619469
202008,1,3.8106060606060606,4.358585858585859,4.148989898989899
202008,2,3.696969696969697,4.261363636363637,4.007575757575758
202009,1,4.014204545454546,4.389204545454546,4.193181818181818
202009,2,3.7068273092369477,4.261044176706827,4.036144578313253
202010,1,3.862796833773087,4.45646437994723,4.195250659630607
202010,2,3.6327433628318584,4.336283185840708,4.070796460176991
202011,1,3.8209718670076724,4.327365728900256,4.2148337595907925
202011,2,3.755868544600939,4.262910798122066,3.976525821596244
202012,1,3.8662952646239552,4.323119777158774,4.2674094707520895
202012,2,3.5867768595041323,4.276859504132231,4.028925619834711
202101,1,3.695530726256983,4.32122905027933,4.108938547486034
202101,2,3.583673469387755,4.171428571428572,4.061224489795919
202102,1,3.6341463414634148,4.238482384823849,4.170731707317073
202102,2,3.7404255319148936,4.251063829787234,3.991489361702128
202103,1,3.6747967479674797,4.249322493224932,4.178861788617886
202103,2,3.9829787234042553,4.246808510638298,4.059574468085106
202104,1,3.8289473684210527,4.068421052631579,4.28421052631579
202104,2,4.0542986425339365,4.167420814479638,4.212669683257919
202105,1,3.8209718670076724,3.869565217391304,4.268542199488491
202105,2,3.9953488372093022,3.8790697674418606,4.125581395348838
202106,1,3.7526041666666665,3.65625,4.205729166666667
202106,2,3.982142857142857,3.8348214285714284,4.133928571428571
202107,1,3.781578947368421,3.6526315789473682,4.226315789473684
202107,2,3.8169642857142856,3.6473214285714284,4.0625
202108,1,3.728723404255319,3.617021276595745,4.1436170212765955
202108,2,3.892857142857143,3.7455357142857144,3.9776785714285716
202109,1,3.665745856353591,3.5580110497237567,4.149171270718232
202109,2,3.884,3.708,4.148
202110,1,3.612732095490716,3.740053050397878,4.10079575596817
202110,2,3.79295154185022,3.753303964757709,4.180616740088106
202111,1,3.5972602739726027,3.6684931506849314,4.1808219178082195
202111,2,3.7257383966244726,3.5949367088607596,3.9957805907172994
202112,1,3.6,3.765,4.16
202112,2,3.857142857142857,3.7536945812807883,4.009852216748769
202201,1,3.5813953488372094,3.8036175710594313,4.113695090439276
202201,2,3.6232558139534885,3.697674418604651,4.0
202202,1,3.5277777777777777,3.734848484848485,3.9823232323232323
202202,2,3.676470588235294,3.7058823529411766,3.9019607843137254
202203,1,3.544159544159544,3.663817663817664,3.9002849002849005
202203,2,3.7250996015936253,3.545816733067729,3.9681274900398407
202204,1,3.642857142857143,3.5846560846560847,3.984126984126984
202204,2,3.6981981981981984,3.5585585585585586,3.9684684684684686
202205,1,3.586206896551724,3.4509283819628647,3.957559681697613
202205,2,3.5982142857142856,3.388392857142857,3.8794642857142856
202206,1,3.446650124069479,3.436724565756824,3.7493796526054592
202206,2,3.64321608040201,3.407035175879397,3.628140703517588
202207,1,3.497448979591837,3.5153061224489797,3.767857142857143
202207,2,3.583732057416268,3.3923444976076556,3.712918660287081
202208,1,3.607142857142857,3.461734693877551,3.795918367346939
202208,2,3.642857142857143,3.414285714285714,3.7523809523809524
202209,1,3.595108695652174,3.472826086956522,3.8125
202209,2,3.7896995708154506,3.5107296137339055,3.8025751072961373
202210,1,3.5892857142857144,3.436224489795918,3.8035714285714284
202210,2,3.764423076923077,3.3701923076923075,3.7403846153846154
202211,1,3.537859007832898,3.2950391644908614,3.7911227154046996
202211,2,3.771689497716895,3.3607305936073057,3.712328767123288
202212,1,3.647519582245431,3.3028720626631856,3.7180156657963446
202212,2,3.7096774193548385,3.3548387096774195,3.705069124423963
